content,score,label
webnya bapuk. kurang satset. gk jelas,1,negatif
mantap,5,positif
"sejauh ini aplikasi milik pemerintah, mobile JKN yg paling good",5,positif
"kenapa mau ambil no antrean untuk kontrol""kuota poli udh habis"" padahal baru 6 org , biasanya sampe 45 org .dan slallu keluar sendiri akunnya sehingga harus log in lagi",2,negatif
luarbiasa mudah,5,positif
MW daftar tp otp ga dikirimi2,2,negatif
mantap..👍👍👍,5,positif
aplikasi sangat mudah untuk melakukan perubahan data peserta,5,positif
sangat membantu sekali aplikasi ini. menurut saya semua bisa dari aplikasi ini,5,positif
sangat susah sekali verifikasi wajah. verifikasi lewat sms juga gak bisa. nomor HP kosong padahal pada awal daftar sudah berhasil terverifikasi nomornya. jangan mempersulit peserta.,1,negatif
sudah pengajuan ke PANDAWA ttp aja ga bisa ganti nomer hp/e-mail di per sulit sekali mobile jkn mana semua RS harus reservasi lewat aplikasi ini pula tanggapan nya LEMOTTT abis!!! perbaiki donk aplikasi nya bagaimana,1,negatif
mantap,5,positif
"terima kasih JKN, dengan adanya aplikasi JKN ini telah mempermudah mengatasi masalah kami semua🙏",5,positif
"jelek, gabisa login lebih dari 4 akun per perangkat. terus sering ke reset sendiri padahal butuh lihat verifikasi di aplikasi lain. terus sering muncul nomor gak dikenal buat verifikasi ckckckkckckckc(geleng geleng kepala)",1,negatif
mau ganti faskes susah banget ga bisa di klik pilihannya,1,negatif
app jkn sangat membantu masyarakat 👍🏻👍🏻,5,positif
apk menyusahkan,1,negatif
"EH MULYANTO APLIKASI LU BENERIN, KALO VERIFIKASI WAJAH GAPERNAH BISA DIHAPUS AJA GANTI CARA LIN BUAT VERIFIKASI, TUJUANNYA MAU MEMPERMUDAH ATAU MEMPERSULIT? KALO APLIKASI GA BERGUNA GINI HAPUS AJA GAUSAH GAYA GAYAAN ONLINE ONLINE KALO GA BECUS BIKIN APLIKASI MAH. CARA VERIFIKASI LAIN BANYAK KALO GABISA PAKE KAMERA CARI ALTERNATIF LAIN DONG MIKIR MAKANYA JANGAN MATI ISI KEPALANYA. APLIKASI SANGAT TIDAK DISARANKAN KARENA SANGAT TIDAK BERGUNA. OIYA WEB LU BENERIN JUGA KOCAK.",1,positif
"apa lah, semua di sulit2in, adanya cuman dikorup semua tuh anggaran dari data penduduk. mau verifikasi ngadep ke matahari juga nggak bisa jir, emang kalo apk dipegang pemerintah ikut2tan bobrok",1,positif
"aplikasi sudah diperbaiki, sekarang berjalan dengan baik, terima kasih",5,positif
