score,at,content,label
1,2025-05-30 08:43:10,webnya bapuk. kurang satset. gk jelas,negatif
5,2025-05-30 08:25:49,mantap,positif
5,2025-05-30 08:25:31,"sejauh ini aplikasi milik pemerintah, mobile JKN yg paling good",positif
2,2025-05-30 08:23:26,"kenapa mau ambil no antrean untuk kontrol""kuota poli udh habis"" padahal baru 6 org , biasanya sampe 45 org .dan slallu keluar sendiri akunnya sehingga harus log in lagi",negatif
5,2025-05-30 08:17:05,luarbiasa mudah,positif
2,2025-05-30 07:37:31,MW daftar tp otp ga dikirimi2,negatif
5,2025-05-30 07:36:36,mantap..👍👍👍,positif
5,2025-05-30 07:34:10,aplikasi sangat mudah untuk melakukan perubahan data peserta,positif
5,2025-05-30 07:12:36,sangat membantu sekali aplikasi ini. menurut saya semua bisa dari aplikasi ini,positif
1,2025-05-30 06:55:42,sangat susah sekali verifikasi wajah. verifikasi lewat sms juga gak bisa. nomor HP kosong padahal pada awal daftar sudah berhasil terverifikasi nomornya. jangan mempersulit peserta.,negatif
1,2025-05-30 06:43:08,sudah pengajuan ke PANDAWA ttp aja ga bisa ganti nomer hp/e-mail di per sulit sekali mobile jkn mana semua RS harus reservasi lewat aplikasi ini pula tanggapan nya LEMOTTT abis!!! perbaiki donk aplikasi nya bagaimana,negatif
5,2025-05-30 06:39:27,mantap,positif
5,2025-05-30 06:33:13,"terima kasih JKN, dengan adanya aplikasi JKN ini telah mempermudah mengatasi masalah kami semua🙏",positif
1,2025-05-30 06:21:41,"jelek, gabisa login lebih dari 4 akun per perangkat. terus sering ke reset sendiri padahal butuh lihat verifikasi di aplikasi lain. terus sering muncul nomor gak dikenal buat verifikasi ckckckkckckckc(geleng geleng kepala)",negatif
1,2025-05-30 06:05:21,mau ganti faskes susah banget ga bisa di klik pilihannya,negatif
5,2025-05-30 05:59:12,app jkn sangat membantu masyarakat 👍🏻👍🏻,positif
1,2025-05-30 05:57:16,apk menyusahkan,negatif
