username,published_at,comment
@KoreaReomit,2025-03-11T14:46:56Z,"Terima kasih sudah menunggu~!
Sesuai di video, kami menyampaikan informasi yang beredar, namun kebenarnnya masih dipertanyakan.."
@kuroyokki7700,2025-06-01T19:07:44Z,"Wah, itu Bapak2 reporter yg ngulik kehidupan Saeron pas kerja di cafe sampai pas ganti nama, ngeri banget sih.."
@annasujadi2130,2025-05-31T00:34:19Z,G ada kelanjutan mya lagi ta? Wess 2 bulan 😂
@fernandoridel,2025-05-09T13:42:30Z,"Pernah nonton filmnya pas dia jadi malaikat, skrng udah jadi malaikat beneran wehh"
@mamarararire502,2025-05-08T02:52:44Z,Mas Hansol tolong bahas penikaman orang yg memegang rekaman saeron saat di newjersy sampai FBI turun tangan
@lhensiaja8475,2025-05-01T17:37:05Z,Gimana fakta nya sekarang apa benar KSH tidak lagi artis bayaran tertinggi di korea. Dan hukum apa yang dijatuhkan kepada KSH
@ekinaidil2323,2025-04-28T15:29:03Z,한국은 선진국이지만 한국인들은 옛날처럼 앉아서 생각하는 것 같아요. 한국 작가가 문제가 생기면 작품이 취소되는 거 맞죠? 인간성은 존재하지 않습니다.
@Kikyy09,2025-04-06T14:23:52Z,Kok cuma KSH doang yg di hujat LJH yg buat fitnah Kim Saeron nggk di hujat juga kah? Kan yg membuat mental Kim Saeron down itu juga ulah perbuatan LJH juga
@intandahniar,2025-04-05T08:41:24Z,Pacaran 2 tahun aza ada yg putus apalagi yg 6 tahun.... Namanya jg nga jodoh.
@ferryferry661,2025-04-04T17:48:39Z,"All the evidence given by the Kim Sae Ron family. All 100% correct and real. If anyone calls it fake or edited. Please Prove !!! If you can't, don't help this man. Or you will join in sin !!!"
@AlvinVerrael,2025-04-04T15:28:54Z,Ada yg baru itu lho mas ..di update hbs pers konferense
@Umardau_123,2025-04-04T09:02:36Z,Mntal mreka gk sekuat mntal artis indonesia😂
@erialbar,2025-04-04T07:40:59Z,"Uang percaya pedo dan lolicon ....
Budak golden circle"
@erialbar,2025-04-04T07:35:48Z,"Gold medalist ............
Kok dejavu 
Golden circle

Yang paham aja dark nya"
@BukanKairi,2025-04-04T06:49:29Z,"Mantap Kim Soo Hyun.

Seorang pria harus siap menghadapi tantangan.
Siapa yang perduli mana yang benar.

Setidaknya sudah muncul dan bercerita.

Kerja bagus. 👍👍👍"
@splash2976,2025-04-03T14:25:48Z,"Perkara mabok nabrak tong sampah aja sampai heboh gak perpanjang kontrak. Drama memang.

Kasian KSR, semoga damai disana."
@Hamta-o9i,2025-04-03T11:19:43Z,These are all lies now that you have to say what your personal lives are going to suicide with these rumors.
@rahmahjapar9826,2025-04-03T08:39:13Z,Benci dengan Kim shooyun
@rahmahjapar9826,2025-04-03T08:38:35Z,Kim shooyun bikini German!!!!
@rahmahjapar9826,2025-04-03T08:37:48Z,"Kimshioyun Jahat, jahat, jahat dan sangat Jahat!!!!"
@lovevianahl,2025-04-03T01:05:04Z,mcm drama 7escape sdh ni kes ni
@Pecintagunung,2025-04-02T04:49:16Z,"Kalau disini netizens indonesia masih baik2 komentarnya, yang heran itu netizen korea dan luar, udah pada kayak witch hunting, menghakimi sana sini, serem banget. Sampai mereka mau KSH juga bunuh diri."
@mariaveronika3632,2025-04-01T23:10:28Z,"Artis yang bersangkutan sudah melakukan klarifikasi secara live, katanya itu semua data yng direkayasa,kasihan Kim Soo Hyun ❤❤"
@tiaramoonpangati3455,2025-04-01T20:21:33Z,Enek ma ksh
@Zayne-j1z,2025-04-01T14:32:24Z,Apakah jang hansol masih sodara an sama jang won young?
@dimassetiawan2981,2025-04-01T14:27:32Z,"Power tends to Corrupt 
Absolute power corrupt Absolutely."
@bibi1234-r1b,2025-04-01T13:50:08Z,"People who say that if you don't cry, you're a tough person, and if you cry, you're a good actor, are really cruel. What should you do in this situation?"
@ferdywikson5357,2025-04-01T13:13:02Z,Like jika kalian setuju Kim Soohyun menyusul Kim Sae Ron...
@semarajaya9640,2025-04-01T12:18:18Z,"Kalau diperhatikan mendalam, kim soo hyun seperti menghambat sae ron seolah ada maunya, sae ron seolah dihalangi bekerja supaya tidak bisa ngumpulin uang sesuai hutang
Seperti nampak kim soo hyun pengen balikan sama sae ron
Kemungkinan yang mutusin hubungan diantara mereka sae ron langsung, kim soo hyun nggak terima diputusin"
@angrirositagewe1056,2025-04-01T12:13:23Z,apa pendapat anda tentang salah dalam menulis umur ?
@shodiqsetyowati6873,2025-04-01T08:11:11Z,"Buat admin @ koreaReomit, sebenarnya sangat jarang pernah mengikuti perkembangan tentang korea dan segala gemerlapnya.Tapi aku mencoba bertanya dalam hati,kenapa angka bunuh diri di Korea sangat tinggi.
Dan secara tidak sengaja menemukan fakta bahwa Kim sae ron dan Sulli pernah ada hubungan dengan k1m s0 hyUn,dan mereka berdua telah meninggal dengan cara bunuh diri.Sunggug miris yah"
@evelinagustitjasmana9948,2025-04-01T07:15:52Z,Bang konferensi kim soh hyun
@debbythamara70,2025-04-01T06:25:09Z,Hadir kak.
@uarmyvallerie_14,2025-04-01T01:37:26Z,ternyata selain agensi si label kuning masih ada gold medalist🤭🤭
@janeadikusuma9363,2025-04-01T01:21:31Z,kok bisa kontrak ada dan tidak diperpanjang tp tidak mencantumkan kesepakatan nilai kontrak ?
@LilyLembayung02,2025-04-01T01:21:01Z,Smpe sekarang masih viral di tv berita taiwan koh
